source,Source Name,target,Target Name
1,Green Budget Europe (GBE),28,European Environmental Bureau
4,World Wildlife Fund,34,Inter-Environnement Wallonie
4,World Wildlife Fund,27,Climate Action Network (CAN) Europe
4,World Wildlife Fund,388,Coalition for Energy Savings
4,World Wildlife Fund,408,Climate-Kic
4,World Wildlife Fund,35,Friends of the Earth Europe
4,World Wildlife Fund,21,The Polish Climate Coalition
5,Nature Code,27,Climate Action Network (CAN) Europe
9,Sandbag,27,Climate Action Network (CAN) Europe
10,"eceee, the European Council for an Energy Efficient Economy",388,Coalition for Energy Savings
12,European Federation for Transport and Environment AISBL,388,Coalition for Energy Savings
12,European Federation for Transport and Environment AISBL,1,Green Budget Europe (GBE)
13,Hespul,94,EREF - European reewable Energy Federation
14,Nature and Biodiversity Conservation Union (NABU),28,European Environmental Bureau
14,Nature and Biodiversity Conservation Union (NABU),6,BirdLife Europe
14,Nature and Biodiversity Conservation Union (NABU),27,Climate Action Network (CAN) Europe
14,Nature and Biodiversity Conservation Union (NABU),12,European Federation for Transport and Environment AISBL
14,Nature and Biodiversity Conservation Union (NABU),39,DNR - Deutscher Naturschutzring
15,Bund für Umwelt und Naturschutz Deutschland,28,European Environmental Bureau
15,Bund für Umwelt und Naturschutz Deutschland,27,Climate Action Network (CAN) Europe
15,Bund für Umwelt und Naturschutz Deutschland,35,Friends of the Earth Europe
15,Bund für Umwelt und Naturschutz Deutschland,39,DNR - Deutscher Naturschutzring
17,ClientEarth,28,European Environmental Bureau
17,ClientEarth,388,Coalition for Energy Savings
19,Change Partnership,27,Climate Action Network (CAN) Europe
20,Centre for Transport and Energy,27,Climate Action Network (CAN) Europe
22,NOAH Friends of the Earth Denmark,2,INFORSE-Europe
22,NOAH Friends of the Earth Denmark,12,European Federation for Transport and Environment AISBL
22,NOAH Friends of the Earth Denmark,35,Friends of the Earth Europe
25,APERe,2,INFORSE-Europe
26,Klima-Bündnis Lëtzebuerg,38,Climate Alliance
27,Climate Action Network (CAN) Europe,388,Coalition for Energy Savings
28,European Environmental Bureau,388,Coalition for Energy Savings
28,European Environmental Bureau,1,Green Budget Europe (GBE)
28,European Environmental Bureau,475,EU Umweltbüro
29,Greenpeace,34,Inter-Environnement Wallonie
29,Greenpeace,27,Climate Action Network (CAN) Europe
29,Greenpeace,21,The Polish Climate Coalition
34,Inter-Environnement Wallonie,41,HEAL
34,Inter-Environnement Wallonie,28,European Environmental Bureau
34,Inter-Environnement Wallonie,27,Climate Action Network (CAN) Europe
34,Inter-Environnement Wallonie,12,European Federation for Transport and Environment AISBL
35,Friends of the Earth Europe,27,Climate Action Network (CAN) Europe
35,Friends of the Earth Europe,388,Coalition for Energy Savings
36,Forum Wissenschaft und Umwelt (FWU),40,Umwelt Dachverband
37,E3G - Third Generation Environmentalism,66,EU-ASE European Alliance to Save Energy
37,E3G - Third Generation Environmentalism,27,Climate Action Network (CAN) Europe
