ID,Lobby ID,Nom,Abréviation,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Réduction 40%,Efficacité énergétique,Gaz de schiste,Energies renouvelables
1,74535104992-35,Green Budget Europe (GBE),GBE,Europe,ONG,Intérêts public environnementaux,223889,2,1.0,SUPPORT,SUPPORT,,SUPPORT
2,1651695283-80,INFORSE-Europe,INFORSE-Europe,Europe,ONG,Intérêts public environnementaux,17499,2,1.0,,,,SUPPORT
3,85103504511-82,ActionAid,ActionAid,International,ONG,Autres industries/intérêts,226887,3,2.25,,,,SUPPORT
4,1414929419-24,World Wildlife Fund,WWF,International,ONG,Intérêts public environnementaux,2124999,33,21.75,,,,
5,75365248559-90,Nature Code,Nature Code,Autriche,ONG,Intérêts public environnementaux,649999,7,4.0,,,,
6,1083162721-43,BirdLife Europe,BirdLife Europe,Europe,ONG,Intérêts public environnementaux,1374999,18,18.0,,,,
7,,Institution of Civil Engineers (ICE),ICE,Royaume-Uni,Association professionnelle,Autres industries/intérêts,NaN,NaN,NaN,,,,
8,256351811481-67,Plataforma por un Nuevo Modelo Energético,Px1NME,Espagne,ONG,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
9,94944179052-82,Sandbag,Sandbag,Royaume-Uni,ONG,"Recherche scientifique, expertise",249999,8,6.5,SUPPORT,,,
10,505588923656-96,"eceee, the European Council for an Energy Efficient Economy",ECEEE,Europe,ONG,Énergie,17499,1,0.75,,,,
11,3960234639-24,Quaker Council for European Affairs (QCEA),QCEA,Belgique,ONG,Autres industries/intérêts,149999,4,2.5,SUPPORT,SUPPORT,OPPOSE,SUPPORT
12,58744833263-19,European Federation for Transport and Environment AISBL,T&E,Europe,ONG,"Construction, immobilier, transports",3624500,27,19.25,SUPPORT,,OPPOSE,
13,,Hespul,HESPUL,France,Think tank et recherche,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
14,0285583802-96,Nature and Biodiversity Conservation Union (NABU),NABU,Allemagne,ONG,Intérêts public environnementaux,349999,31,13.5,SUPPORT,SUPPORT,,SUPPORT
15,83237681344-24,Bund für Umwelt und Naturschutz Deutschland,BUND,Allemagne,ONG,Intérêts public environnementaux,4999,2,1.75,,,,
