ConsultationOrganizationId,ConsultationOrganizationName,CommonName,Country,Type,Website,Secteur,Operating revenue (Turnover) th USD 2014,estimated cost,nb lobbyists,Logo,Emission reduction target equal or above 40%,Exploitation of indigenous fossil energy,Renewable Energy target,Carbon tax
rsp296,3M,3M,US,Companies & groups,http://www.3m.com,Manufacturing,"31,821,000",449999,"3,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/3m.png,,,,
rsp290,ALSTOM,Alstom,France,Companies & groups,http://www.alstom.com,Construction and transportation,"20,972,527",349999,"1,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/alstom.jpeg,,,,
rsp357,AREVA,Areva,France,Companies & groups,http://www.areva.com,Mining and quarrying,"10,220,299",649999,"4,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/areva.png,SUPPORTS,OPPOSES,OPPOSES,
rsp311,BASF,BASF,Germany,Companies & groups,https://www.basf.com,Manufacturing,"91,216,592",2300000,"12,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/basf.png,,SUPPORTS,OPPOSES,
rsp362,BP - British Petroleum,BP,UK,Companies & groups,http://www.bp.com/,Manufacturing,"353,568,000",2874999,"3,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/bp.png,,,,
rsp51,British Agriculture Bureau,British Agriculture Bureau,UK,Trade and business associations,http://britishchamber.be/company/british-agriculture-bureau,Commerce and agriculture,,349999,7,,,,SUPPORTS,
rsp118,Bundesverband Erneuerbare Energie e.V.,German Renewable Energy Federation (BEE),Germany,Trade and business associations,http://www.bee-ev.de/home/,Electricity and gas supply,,17499,"1,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/german_renewable_energy_federation.jpg,SUPPORTS,,SUPPORTS,
rsp69,BusinessEurope,BusinessEurope,Belgium,Trade and business associations,http://www.businesseurope.eu/,"Financial, insurance, management and business activities",,4124999,29,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/business_europe.jpg,,SUPPORTS,,
rsp28,Climate Action Network (CAN) Europe,Climate Action Network Europe,Belgium,NGO and similar,http://www.caneurope.org/,Public climate,,849999,"11,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/can_europe.jpeg,,,,
rsp39,Climate Alliance,Climate Alliance,Germany,Transnational associations of public authorities,http://www.climatealliance.org/,Public climate,,4999,"2,25",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/climate_alliance.jpg,,,,
rsp397,Coalition for Energy Savings,The Coalition for Energy Savings,Belgium,Other organisations,http://energycoalition.eu,Public climate,,149999,"0,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/coalition_for_energy_savings.png,,,,
rsp268,DONG Energy,DONG Energy,Denmark,Companies & groups,http://www.dongenergy.com,"Electricity, gas and water supply","10,953,050",549999,2,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/dong.png,,,,
rsp339,E.ON,E.ON,Germany,Companies & groups,http://www.eon.com,"Electricity, gas and water supply","138,144,008",2124999,11,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/eon.png,,,,
rsp38,E3G - Third Generation Environmentalism,Third Generation Environmentalism,UK,Other organisations,http://e3g.org/,Public climate,,949999,25,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/e3g.jpeg,,,,
rsp336,EDF,EDF,France,Companies & groups,http://www.edf.com,"Electricity, gas and water supply","96,210,188",2749999,14,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/edf.jpeg,,,,
rsp343,EDISON,Edison,Italy,Companies & groups,http://www.edison.it,"Electricity, gas and water supply","15,273,386",349999,2,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/edison.jpeg,,,,
rsp326,EDP - Energias de Portugal,EDP,Portugal,Companies & groups,http://www.edp.pt,"Electricity, gas and water supply","20,270,819",4999,"12,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/edp_energias_de_portugal.gif,,,,
rsp367,EnBW,EnBW,Germany,Companies & groups,https://www.enbw.com,"Electricity, gas and water supply","26,465,815",990000,"4,25",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/enbw.png,,,SUPPORTS,
rsp320,Eneco,Eneco,Netherlands,Companies & groups,http://eneco.be,"Electricity, gas and water supply","5,572,722",4999,"0,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/eneco.png,,,,
rsp324,ENEL,ENEL,Italy,Companies & groups,https://www.enel.com,"Electricity, gas and water supply","95,765,827",2124999,"8,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/enel.png,,SUPPORTS,OPPOSES,
rsp350,ENI,ENI,Italy,Companies & groups,http://www.eni.com,Mining and quarrying,"134,878,078",549999,3,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/eni.png,,,OPPOSES,
rsp318,ERDF,ERDF,France,Companies & groups,http://www.erdf.fr,"Electricity, gas and water supply","18,386,339",649999,1,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/erdf.png,,,,
rsp84,EURACOAL aisbl (European Association for Coal and Lignite),EURACOAL,Belgium,Trade and business associations,http://www.euracoal.be,Mining and quarrying,,249999,"1,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/euracoal.png,,,,
rsp116,EUROGAS,Eurogas,Netherlands,Trade and business associations,http://www.eurogas.org,"Electricity, gas and water supply",,825000,"3,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/eurogas.jpeg,SUPPORTS,SUPPORTS,OPPOSES,
rsp213,European Builders Confederation EBC,European Builders Confederation,Belgium,Trade and business associations,http://www.ebc-construction.eu,Construction and transportation,,4999,"4,75",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/european_builders_confederation.png,,,,
rsp401,European Energy Exchange (EEX),European Energy Exchange,Germany,Companies & groups,http://www.eex.com/en,"Financial, insurance, management and business activities",,149999,4,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/eex.png,,SUPPORTS,SUPPORTS,
rsp254,European Landowners' Association/ European Property Federation/ European Group of Valuers' Associations/ European Historic Houses Association,European Landowners' Association/ European Property Federation/ European Group of Valuers' Associations/ European Historic Houses Association,Belgium,Trade and business associations,,Construction and transportation,,1904998,"18,5",,,,,
rsp269,First Solar GmbH,First Solar,Germany,Companies & groups,http://www.firstsolar.com,"Electricity, gas and water supply",0,4999,5,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/first_solar.png,SUPPORTS,,SUPPORTS,
rsp113,FORATOM,FORATOM,Belgium,Other organisations,http://www.foratom.org/,Mining and quarrying,,449999,3,http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/foratom.png,SUPPORTS,,OPPOSES,SUPPORTS
rsp355,FORTUM,Fortum,Finland,Companies & groups,http://www.fortum.com,"Electricity, gas and water supply","5,849,537",449999,"5,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/fortum.jpeg,SUPPORTS,SUPPORTS,OPPOSES,
rsp421,Foundation 2 Degrees - Stiftung 2 Grad,Stiftung 2 Grad,Germany,NGO and similar,http://www.stiftung2grad.de,Public climate,,4999,"0,25",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/2_degrees.jpeg,,,,
rsp351,GDF SUEZ,Engie,France,Companies & groups,http://www.engie.com,"Electricity, gas and water supply","93,928,893",2374999,3,,SUPPORTS,SUPPORTS,SUPPORTS,
rsp364,GE - General Electric,GENERAL ELECTRIC,US,Companies & groups,http://www.ge.com,Manufacturing,"148,589,000",3374999,"9,5",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/ge.png,,SUPPORTS,SUPPORTS,SUPPORTS
rsp30,Greenpeace,Greenpeace,Belgium,NGO and similar,http://www.greenpeace.org/,Public climate,,1124999,"7,25",http://crowdsourcing.simpolproject.eu/static/staticdata/gpc/logos/greenpeace.jpeg,SUPPORTS,OPPOSES,SUPPORTS,
