Reference,Name,Lobby ID,Abbreviation,Country,Type,Lobby Expense (th. €),Emission reduction target equal or above 40%,Energy Efficiency target,Exploitation of indigenous fossil energy,Renewable Energy target
145,GEODE - The Voice of local Energy Distributors across Europe,00098856602-24,GEODE,Europe,"Non-governmental organisations, platforms and networks and similar",550000,,,,
98,EUROCHAMBRES – The Association of European Chambers of Commerce and Industry,0014082722-83,EUROCHAMBRES,Europe,Trade and business associations,2125000,,OPPOSE,SUPPORT,
214,Allianz der öffentlichen Wasserwirtschaft (AöW),00481013843-28,AöW,Germany,Trade and business associations,25000,,,,
41,HEAL,00723343929-96,HEAL,Europe,"Non-governmental organisations, platforms and networks and similar",125000,,SUPPORT,OPPOSE,
377,CECODHAS Housing Europe,0124622797-55,Housing Europe,Europe,"Non-governmental organisations, platforms and networks and similar",325000,,,,
432,Scotland Europa,01312486176-25,Scotland Europa,United Kingdom,Other sub-national public authorities,25000,,,,
296,Borealis AG,013755513854-45,Borealis,Austria,Trade and business associations,1875000,,OPPOSE,SUPPORT,OPPOSE
483,"EEF, the manufacturers’ organisation/ UK Steel",014218910510-57,EEF UK Steel,United Kingdom,Trade and business associations,na,,,,
196,Verband der Deutschen Biokraftstoffindustrie,01816267633-71,VDB,Germany,Trade and business associations,25000,,,,
229,EPAGMA - European Peat and Growing Media Association,01873234294-62,EPAGMA,Europe,"Non-governmental organisations, platforms and networks and similar",125000,,,,
411,Confrontations Europe,01995086879-32,Confrontations Europe,Europe,Think tanks and research institutions,75000,,,,
185,CIP – Confederation of Portuguese Business,022255314501-32,CIP,Portugal,Trade and business associations,na,,,,
311,Eneco,02430347902-54,Eneco,Netherlands,Companies & groups,25000,,,,
19,Change Partnership,027333110679-45,Change Partnership,Belgium,"Non-governmental organisations, platforms and networks and similar",25000,,,,
14,Nature and Biodiversity Conservation Union (NABU),0285583802-96,NABU,Germany,"Non-governmental organisations, platforms and networks and similar",375000,SUPPORT,SUPPORT,,SUPPORT
192,CONFEDERACIÓN ESPAÑOLA DE ORGANIZACIONES EMPRESARIALES,02963738854-41,CEOE,Spain,Trade and business associations,812087,,,,
68,Asociación Española de Operadores de Productos Petrolíferos (AOP),032095416055-85,AOP,Spain,Trade and business associations,na,,,,
85,EuSalt,03451096957-77,EuSalt,Europe,Trade and business associations,75000,,SUPPORT,,OPPOSE
346,FORTUM,03501997362-71,Fortum Keilaniemi,Finland,Companies & groups,na,SUPPORT,OPPOSE,SUPPORT,OPPOSE
25,APERe,035225320599-22,APERe,Belgium,"Non-governmental organisations, platforms and networks and similar",na,,,,
480,The European Committee of Domestic Equipment Manufacturers (CECED),04201463642-88,CECED,Europe,Trade and business associations,550000,,,,
340,SHELL,05032108616-26,Shell,Netherlands,Companies & groups,4375000,,OPPOSE,SUPPORT,OPPOSE
260,First Solar GmbH,05233891201-35,First Solar,United States,Companies & groups,na,SUPPORT,SUPPORT,,SUPPORT
254,FECER (Fédération Européenne des Cadres de l'énergie),06436048400-37,FECER,Europe,Trade unions and professional associations,25000,SUPPORT,,,
75,ACEA,0649790813-47 ,ACEA,Europe,Trade and business associations,2125000,,OPPOSE,SUPPORT,OPPOSE
420,European Trade Union Confederation,06698681039-26,ETUC,Europe,Trade unions and professional associations,75000,,,,
28,European Environmental Bureau,06798511314-27,EEB,Europe,"Non-governmental organisations, platforms and networks and similar",650000,,,,
458,International Association of Public Transport,06869148182-50,UITP,International,Trade and business associations,750000,,,,
315,ENEL,06877217926-31,ENEL,Italy,Companies & groups,75000,,OPPOSE,SUPPORT,OPPOSE
245,"European Landowners' Association, European Property Federation, European Group of Valuers' Associations, European Historic Houses Association",070444714545-60,"ELo, EPF, TEGoVAn European Historic Houses",Europe,Trade and business associations,150000,,SUPPORT,,
101,Federation of Finnish Enterprises,07265875082-72,FFE,Finland,Trade and business associations,na,,OPPOSE,,OPPOSE
33,Ren Energioplysning (REO),075624711129-13,REO,Denmark,"Non-governmental organisations, platforms and networks and similar",25000,,,OPPOSE,OPPOSE
430,Deutscher Gewerkschaftsbund (DGB),07595112423-87,DGB,Germany,Trade unions and professional associations,286000,,,,
149,CIFF - Chemical Industry Federation of Finland,07682415745-25,CIFF,Finland,Trade and business associations,25000,,,,
37,E3G - Third Generation Environmentalism,07783117686-61,E3G,Europe,Think tanks and research institutions,25000,,,,
255,ECOHZ AS,084019910467-43,ECOHZ,Europe,Companies & groups,25000,,,,
390,Collegi Oficial d'Enginyers Agrònoms de Catalunya,088919911489-91 ,COEAC,Spain,Trade and business associations,25000,,,,
219,Bundesverband deutscher Wohnungs- und Immobilienunternehmen,089167355-44,GdW,Germany,Trade and business associations,110000,,OPPOSE,,OPPOSE
