Step,Titre,Texte,Appel d’action,bloc1,bloc2,bloc3
1,Alliés vs rivaux,Le lobbying  est une activité de conseil et d’influence des décisions politiques. Cette influence peut aller dans le sens de l’intérêt général ou dans celui d’intérêts privés.<br/><br/>Il devient un problème notamment lorsque la balance entre les moyens financiers des défenseurs des intérêts privés et ceux des intérêts publics n’est plus équilibrée.,Comparez la puissance financière de vos alliés et de vos rivaux.,,,
2,Types d’organisations,"Divers types d’organisations ont intérêt à faire évoluer la législation dans un sens qui leur soit favorable. Une entreprise n’a pas nécessairement les mêmes préoccupations qu’une ONG. Quant aux associations professionnelles, elles ont pour fonction de défendre les intérêts d’une profession ou d’un secteur d’activité.",Vos opposants sont-ils plutôt des entreprises ? Des ONG ? Des organisations professionnelles ? Et sur quel type d’organisations pouvez-vous compter pour défendre votre position ?,,,
3,Secteurs d’activité,"Une organisation produisant des énergies renouvelables n’a pas les mêmes intérêts qu’une organisation impliquée dans l’extraction d’énergies fossiles ou dans une autre industrie. Certaines organisations ont comme premier objectif la défense de l’intérêt général sur les questions climatiques, d’autres défendent les intérêts des salariés ou les intérêts patronaux.
","Ces organisations qui combattent votre position ou qui la soutiennent, dans quel secteur se situent-elles ? ",,,
4,,,Y a-t-il des secteurs globalement plus proches ou plus éloignés de votre position ? Quel est leur poids financier respectif ? ,,,
5,Organisations par secteurs,"Le nombre de lobbyistes, présents dans les institutions, qui vont défendre ou s’opposer à une mesure est une donnée importante. Un message répété indéfiniment finit par devenir une sorte d’évidence pour le législateur. Bruxelles est la deuxième ville au monde, après Washington, où les lobbyistes sont le plus nombreux.","Survolez les organisations pour connaître leur budget et cliquez dessus pour découvrir leur nombre de lobbyistes. Quel budget dépensent ces organisations, par an, en lobbying dans les instituions européennes ? Combien ont-elles de lobbyistes ?",,,
6,Liens d’affiliation,"De nombreuses organisations ayant répondu à la consultation de la Commission possèdent des membres affiliés dont elles défendent les intérêts. Les entreprises ont donc une activité de lobbying directe, impliquant leur propre budget, et une activité indirecte via les associations professionnelles, ONG ou autres organisations auxquelles elles sont affiliées et au financement desquelles elles participent.",Etes-vous affilié à une organisation qui défend une position inverse à la vôtre ? Ou avez-vous un membre qui affiche un positionnement différent ?,,,
7,Liens de propriété,"Les organisations peuvent aussi êtres liées à travers les investissements qu’elles font les unes dans les autres, mais aussi à travers les investisseurs qu’elles ont en commun. Des organisations financières ou des états ont donc indirectement une influence dans le réseau.",Quelles entreprises partagent un actionnaire (parmi leurs 5 principaux et avec au moins 1% des parts) ?,,,
8,A vous de jouer !,Vous êtes prêt à présent pour continuer l’exploration par vous-même,,Découvrez qui est votre meilleur allié et votre pire adversaire dans le réseau. ,Parcourez des exemples racontant l’influence concrète des lobbies sur les politiques climatiques et approfondissez vos connaissances sur leur fonctionnement. ,"Quittez l’organisation à laquelle vous êtes identifié et explorez, anonymement, les autres thématiques. "
9,"Meilleur allié, pire adversaire","Nous pouvons dire qu’une organisation ayant une forte centralité dans le réseau, c’est-à-dire étant très connectée avec les autres, et étant liée à des organisations partageant son point de vue, a un pouvoir d’influence supérieur.",Quelles sont les organisations les plus puissantes parmi vos alliés ? Et parmi vos adversaires ?,,,
10,Histoires et révélations,,,,,
11,Nouvelle thématique,Vous avez choisi de quitter votre organisation. Vous êtes désormais un électron libre. Le réseau n’est plus défini par rapport à vos objectifs mais se présente maintenant en fonction des positions pour ou contre le sujet sélectionné. ,Choisissez un nouveau sujet pour voir le réseau se reconstituer. Vous pouvez aussi scroller en arrière pour observer l’agrégation des acteurs par secteurs ou types d’organisation. ,,,
