Step,Par défaut,Déployé (i)
5,Energies renouvelables,Objectif quantitatif contraignant pour la part des énergies renouvelables dans la production d'électricité
5,Emission <40 %,Réduction des émissions de gaz à effet de serre d’au moins 40% à l’horizon 2030 (par rapport au niveau de 1990)
5,"Gaz de schiste, charbon, etc.", Exploitation de sources d'énergies fossiles indigènes tels que le gaz de schiste (non conventionnel) ou le charbon (conventionnel)
5,Efficacité énergétique,"Objectif quantitatif contraignant d'efficacité énergétique, à l'échelle de l'UE, pour réduire la consommation d'énergie primaire de l'UE en fonction du PIB"
8&9,Association professionnelle, Groupements professionnels commerciaux ou industriels
8&9,ONG,"Organisations non gouvernementales, plates-formes, réseaux et assimilés"
8&9,Syndicat,Associations syndicales et professionnelles
8&9,Think tank et recherche,Groupes de réflexion et organismes de recherche
8&9,Entité publique ou mixte d’intérêt public,"Autres entités publiques ou mixtes, créées par la loi, dont la finalité est d'agir dans l'intérêt public"
8&9,Consultance,Cabinets de consultants spécialisés
8&9,Autre,Autres organisations
8&9,Communauté religieuse,Organisations représentant des églises et des communautés religieuses
8&9,Entité/autorité publique,Autres autorités publiques au niveau sous-national ou associations et réseaux transnationaux d'autorités publiques régionales ou autres au niveau sous-national
10&11,Autres industries / intérêts,"Biens de consommation, agriculture, religion, etc."
10&11,Énergie,"Secteur de l’électricité, du gaz, de l’eau ou du chauffage"
10&11,Énergies renouvelables,"Solaire, éolien, bioénergie, etc."
10&11,Énergies fossiles,"Pétrole, charbon, tourbe (sauf gaz)"
10&11,Finance,"Marchés, conseil"
10&11,Intérêts privés,Défenses des intérêts patronaux ou industriels
10&11,Matériaux,"Métal, verre, papier, béton, bois, céramique, etc."
